Sample_series_id,library name,title,source name,organism,molecule,description,processed data file ,raw file,single or paired-end,instrument model,Sample characteristics
GSE185234,dICP22_3,"HSV-1 lacking expression of ICP22, HSV-1 strain F mutant R325, replicate 3",human fetal foreskin fibroblasts,human,transposon tagged DNA,followed ATACseq protocol,dICP22_3.bedgraph,dICP22_3_R1.fq.gz;dICP22_3_R2.fq.gz,NA,NA,"infection status:12 hpi&&virus strain:strain F, R325&&"
GSE185234,dICP22_4,"HSV-1 lacking expression of ICP22, HSV-1 strain F mutant R325, replicate 4",human fetal foreskin fibroblasts,human,transposon tagged DNA,followed ATACseq protocol,dICP22_4.bedgraph,dICP22_4_R1.fq.gz;dICP22_4_R2.fq.gz,NA,NA,"infection status:12 hpi&&virus strain:strain F, R325&&"
GSE185234,dICP22_plus_PAA_1,"HSV-1 lacking expression of ICP22, HSV-1 strain F mutant R325, +PAA, replicate 1",human fetal foreskin fibroblasts,human,transposon tagged DNA,followed ATACseq protocol,dICP22_plus_PAA_1.bedgraph,dICP22_plus_PAA_1_R1.fq.gz;dICP22_plus_PAA_1_R2.fq.gz,NA,NA,"infection status:12 hpi&&treatment:PAA 300ug/ml&&virus strain:strain F, R325&&"
GSE185234,dICP22_plus_PAA_2,"HSV-1 lacking expression of ICP22, HSV-1 strain F mutant R325, +PAA, replicate 2",human fetal foreskin fibroblasts,human,transposon tagged DNA,followed ATACseq protocol,dICP22_plus_PAA_2.bedgraph,dICP22_plus_PAA_2_R1.fq.gz;dICP22_plus_PAA_2_R2.fq.gz,NA,NA,"infection status:12 hpi&&treatment:PAA 300ug/ml&&virus strain:strain F, R325&&"
GSE185234,dICP27_1,"HSV-1 lacking expression of ICP27, KOS, replicate 1",human fetal foreskin fibroblasts,human,transposon tagged DNA,followed ATACseq protocol,dICP27_1.bedgraph,dICP27_1_R1.fq.gz;dICP27_1_R2.fq.gz,NA,NA,"infection status:8 hpi&&virus strain:strain KOS, 27LacZ&&"
GSE185234,dICP27_2,"HSV-1 lacking expression of ICP27, KOS, replicate 2",human fetal foreskin fibroblasts,human,transposon tagged DNA,followed ATACseq protocol,dICP27_2.bedgraph,dICP27_2_R1.fq.gz;dICP27_2_R2.fq.gz,NA,NA,"infection status:8 hpi&&virus strain:strain KOS, 27LacZ&&"
GSE185234,dVHS_1,"HSV-1 lacking expression of UL41, replicate 1",human fetal foreskin fibroblasts,human,transposon tagged DNA,followed ATACseq protocol,dVHS_1.bedgraph,dVHS_1_R1.fq.gz;dVHS_1_R2.fq.gz,NA,NA,infection status:8 hpi&&virus strain:strain 17&&
GSE185234,dVHS_2,"HSV-1 lacking expression of UL41, replicate 2",human fetal foreskin fibroblasts,human,transposon tagged DNA,followed ATACseq protocol,dVHS_2.bedgraph,dVHS_2_R1.fq.gz;dVHS_2_R2.fq.gz,NA,NA,infection status:8 hpi&&virus strain:strain 17&&
GSE185235,Delta_ICP22_12hpi_1,"HFFF cells infected with ICP22-null mutant (12 hpi), replicate 1",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Delta_ICP22_12hpi_1.bedgraph,L1901237_Nr15_Delta_ICP22_12hpi_R1.fq.gz;L1901237_Nr15_Delta_ICP22_12hpi_R2.fq.gz,NA,NA,"cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:12 hpi&&Treatment :no treatment&&Infection with:ICP22-null mutant of herpes simplex virus 1, strain F&&"
GSE185235,Delta_ICP22_12hpi_2,"HFFF cells infected with ICP22-null mutant (12 hpi), replicate 2",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Delta_ICP22_12hpi_2.bedgraph,Nr30_dICP22_12_hpi_DNA_R1.fq.gz;Nr30_dICP22_12_hpi_DNA_R2.fq.gz,NA,NA,"cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:12 hpi&&Treatment :no treatment&&Infection with:ICP22-null mutant of herpes simplex virus 1, strain F&&"
GSE185235,Delta_ICP22_8hpi_1,"HFFF cells infected with ICP22-null mutant (8 hpi), replicate 1",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Delta_ICP22_8hpi_1.bedgraph,L1901231_Nr07_Delta_ICP22_8hpi_R1.fq.gz;L1901231_Nr07_Delta_ICP22_8hpi_R2.fq.gz,NA,NA,"cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:8 hpi&&Treatment :no treatment&&Infection with:ICP22-null mutant of herpes simplex virus 1, strain F&&"
GSE185235,Delta_ICP22_8hpi_2,"HFFF cells infected with ICP22-null mutant (12 hpi), replicate 2",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Delta_ICP22_8hpi_2.bedgraph,Nr24_dICP22_8hpi_DNA_R1.fq.gz;Nr24_dICP22_8hpi_DNA_R2.fq.gz,NA,NA,"cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:12 hpi&&Treatment :no treatment&&Infection with:ICP22-null mutant of herpes simplex virus 1, strain F&&"
GSE185235,Delta_ICPP22_12hpi_plus_12hPAA_1,"HFFF cells infected with ICP22-null mutant (12 hpi), treated with PAA, replicate 1",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Delta_ICPP22_12hpi_plus_12hPAA_1.bedgraph,L1901238_Nr16_Delta_ICPP22_12hpi_plus_12hPAA_R1.fq.gz;L1901238_Nr16_Delta_ICPP22_12hpi_plus_12hPAA_R2.fq.gz,NA,NA,"cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:12 hpi&&Treatment :PAA (350 µg/ml)&&Infection with:ICP22-null mutant of herpes simplex virus 1, strain F&&"
GSE185235,Delta_ICPP22_12hpi_plus_12hPAA_2,"HFFF cells infected with ICP22-null mutant (12 hpi), treated with PAA, replicate 2",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Delta_ICPP22_12hpi_plus_12hPAA_2.bedgraph,Nr31_dICP22_12_hpi+PAA_DNA_R1.fq.gz;Nr31_dICP22_12_hpi+PAA_DNA_R2.fq.gz,NA,NA,"cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:12 hpi&&Treatment :PAA (350 µg/ml)&&Infection with:ICP22-null mutant of herpes simplex virus 1, strain F&&"
GSE185235,Delta_ICPP22_8hpi_plus_8hPAA_1,"HFFF cells infected with ICP22-null mutant (8 hpi), treated with PAA, replicate 1",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Delta_ICPP22_8hpi_plus_8hPAA_1.bedgraph,L1901232_Nr08_Delta_ICPP22_8hpi_plus_8hPAA_R1.fq.gz;L1901232_Nr08_Delta_ICPP22_8hpi_plus_8hPAA_R2.fq.gz,NA,NA,"cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:8 hpi&&Treatment :PAA (350 µg/ml)&&Infection with:ICP22-null mutant of herpes simplex virus 1, strain F&&"
GSE185235,Delta_ICPP22_8hpi_plus_8hPAA_2,"HFFF cells infected with ICP22-null mutant (8 hpi), treated with PAA, replicate 2",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Delta_ICPP22_8hpi_plus_8hPAA_2.bedgraph,Nr25_dICP22_8hpi+PAA_DNA_R1.fq.gz;Nr25_dICP22_8hpi+PAA_DNA_R2.fq.gz,NA,NA,"cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:8 hpi&&Treatment :PAA (350 µg/ml)&&Infection with:ICP22-null mutant of herpes simplex virus 1, strain F&&"
GSE185235,Mock_12h_1,"HFFF cells mock infected (12 hpi), replicate 1",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Mock_12h_1.bedgraph,L1901233_Nr09_Mock_12h_R1.fq.gz;L1901233_Nr09_Mock_12h_R2.fq.gz,NA,NA,cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:no infection&&Treatment :no treatment&&Infection with:no infection&&
GSE185235,Mock_12h_2,"HFFF cells mock infected (12 hpi), replicate 2",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Mock_12h_2.bedgraph,Nr26_Mock_12_hpi_DNA_R1.fq.gz;Nr26_Mock_12_hpi_DNA_R2.fq.gz,NA,NA,cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:no infection&&Treatment :no treatment&&Infection with:no infection&&
GSE185235,Mock_12h_plus_12hPAA_1,"HFFF cells mock infected (12 hpi), treated with PAA, replicate 1",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Mock_12h_plus_12hPAA_1.bedgraph,L1901234_Nr10_Mock_12h_plus_12hPAA_R1.fq.gz;L1901234_Nr10_Mock_12h_plus_12hPAA_R2.fq.gz,NA,NA,cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:no infection&&Treatment :PAA (350 µg/ml)&&Infection with:no infection&&
GSE185235,Mock_12h_plus_12hPAA_2,"HFFF cells mock infected (12 hpi), treated with PAA, replicate 2",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Mock_12h_plus_12hPAA_2.bedgraph,Nr27_Mock_12_hpi+PAA_DNA_R1.fq.gz;Nr27_Mock_12_hpi+PAA_DNA_R2.fq.gz,NA,NA,cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:no infection&&Treatment :PAA (350 µg/ml)&&Infection with:no infection&&
GSE185235,Mock_8h_2,"HFFF cells mock infected (8 hpi), replicate 2",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Mock_8h_2.bedgraph,Nr20_Mock_8_hpi_DNA_R1.fq.gz;Nr20_Mock_8_hpi_DNA_R2.fq.gz,NA,NA,cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:no infection&&Treatment :no treatment&&Infection with:no infection&&
GSE185235,Mock_8h_plus_8hPAA_2,"HFFF cells mock infected (8 hpi), treated with PAA, replicate 2",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Mock_8h_plus_8hPAA_2.bedgraph,Nr21_Mock_8_hpi+PAA_DNA_R1.fq.gz;Nr21_Mock_8_hpi+PAA_DNA_R2.fq.gz,NA,NA,cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:no infection&&Treatment :PAA (350 µg/ml)&&Infection with:no infection&&
GSE185235,Wt_F_12_hpi_1,"HFFF cells infected with HSV-1 WT (12 hpi), replicate 1",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Wt_F_12_hpi_1.bedgraph,L1901235_Nr13_Wt_F_12_hpi_R1.fq.gz;L1901235_Nr13_Wt_F_12_hpi_R2.fq.gz,NA,NA,"cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:12 hpi&&Treatment :no treatment&&Infection with:Herpes simplex virus 1, strain F&&"
GSE185235,Wt_F_12_hpi_2,"HFFF cells infected with HSV-1 WT (12 hpi), replicate 2",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Wt_F_12_hpi_2.bedgraph,Nr28_strain_F_12_hpi_DNA_R1.fq.gz;Nr28_strain_F_12_hpi_DNA_R2.fq.gz,NA,NA,"cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:12 hpi&&Treatment :no treatment&&Infection with:Herpes simplex virus 1, strain F&&"
GSE185235,Wt_F_12_hpi_plus_12hPAA_1,"HFFF cells infected with HSV-1 WT (12 hpi), treated with PAA, replicate 1",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Wt_F_12_hpi_plus_12hPAA_1.bedgraph,L1901236_Nr14_Wt_F_12_hpi_plus_12hPAA_R1.fq.gz;L1901236_Nr14_Wt_F_12_hpi_plus_12hPAA_R2.fq.gz,NA,NA,"cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:12 hpi&&Treatment :PAA (350 µg/ml)&&Infection with:Herpes simplex virus 1, strain F&&"
GSE185235,Wt_F_12_hpi_plus_12hPAA_2,"HFFF cells infected with HSV-1 WT (12 hpi), treated with PAA, replicate 2",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Wt_F_12_hpi_plus_12hPAA_2.bedgraph,Nr29_strain_F_12_hpi+PAA_DNA_R1.fq.gz;Nr29_strain_F_12_hpi+PAA_DNA_R2.fq.gz,NA,NA,"cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:12 hpi&&Treatment :PAA (350 µg/ml)&&Infection with:Herpes simplex virus 1, strain F&&"
GSE185235,Wt_F_8_hpi_1,"HFFF cells infected with HSV-1 WT (8 hpi), replicate 1",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Wt_F_8_hpi_1.bedgraph,L1901229_Nr05_Wt_F_8_hpi_R1.fq.gz;L1901229_Nr05_Wt_F_8_hpi_R2.fq.gz,NA,NA,"cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:8 hpi&&Treatment :no treatment&&Infection with:Herpes simplex virus 1, strain F&&"
GSE185235,Wt_F_8_hpi_2,"HFFF cells infected with HSV-1 WT (8 hpi), replicate 2",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Wt_F_8_hpi_2.bedgraph,Nr22_strain_F_8hpi_DNA_R1.fq.gz;Nr22_strain_F_8hpi_DNA_R2.fq.gz,NA,NA,"cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:8 hpi&&Treatment :no treatment&&Infection with:Herpes simplex virus 1, strain F&&"
GSE185235,Wt_F_8_hpi_plus_8hPAA_1,"HFFF cells infected with HSV-1 WT (8 hpi), treated with PAA, replicate 1",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Wt_F_8_hpi_plus_8hPAA_1.bedgraph,L1901230_Nr06_Wt_F_8_hpi_plus_8hPAA_R1.fq.gz;L1901230_Nr06_Wt_F_8_hpi_plus_8hPAA_R2.fq.gz,NA,NA,"cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:8 hpi&&Treatment :PAA (350 µg/ml)&&Infection with:Herpes simplex virus 1, strain F&&"
GSE185235,Wt_F_8_hpi_plus_8hPAA_2,"HFFF cells infected with HSV-1 WT (8 hpi), treated with PAA, replicate 2",ATAC-seq,Homo sapiens sapiens,DNA,DNA isolated with MinElute PCR Purification Kit,Wt_F_8_hpi_plus_8hPAA_2.bedgraph,Nr23_strain_F_8hpi+PAA_DNA_R1.fq.gz;Nr23_strain_F_8hpi+PAA_DNA_R2.fq.gz,NA,NA,"cell type:Primary human fetal foreskin fibroblasts (HFFF)&&Time post infection:8 hpi&&Treatment :PAA (350 µg/ml)&&Infection with:Herpes simplex virus 1, strain F&&"
GSE185236,KD_SPT6_ICP22_minus_dox_1,"T-HF cells, with no SPT6 KD, infected with ICP22-null mutant, replicate 1",Omni-ATAC,Homo sapiens sapiens,DNA,DNA isolated with Zymo DNA Clean & Concentrator,KD_SPT6_ICP22_minus_dox_1.bedgraph,KD_6_ICP22_minus_dox_R1.fq.gz;KD_6_ICP22_minus_dox_R2.fq.gz,NA,NA,"Time post infection:8 hpi&&Cell type:Human telomerase reverse transcriptase (hTERT)-Immortalized cell line&&Treatment:PAA (350 µg/ml)&&Infection with:ICP22-null mutant of herpes simplex virus 1, strain F&&"
GSE185236,KD_SPT6_ICP22_minus_dox_2,"T-HF cells, with no SPT6 KD, infected with ICP22-null mutant, replicate 2",Omni-ATAC,Homo sapiens sapiens,DNA,DNA isolated with Zymo DNA Clean & Concentrator,KD_SPT6_ICP22_minus_dox_2.bedgraph,KD_7_ICP22_minus_dox_R1.fq.gz;KD_7_ICP22_minus_dox_R2.fq.gz,NA,NA,"Time post infection:8 hpi&&Cell type:Human telomerase reverse transcriptase (hTERT)-Immortalized cell line&&Treatment:PAA (350 µg/ml)&&Infection with:ICP22-null mutant of herpes simplex virus 1, strain F&&"
GSE185236,KD_SPT6_ICP22_plus_dox_1,"T-HF cells, with SPT6 KD, infected with ICP22-null mutant, replicate 1",Omni-ATAC,Homo sapiens sapiens,DNA,DNA isolated with Zymo DNA Clean & Concentrator,KD_SPT6_ICP22_plus_dox_1.bedgraph,KD_6_ICP22_plus_dox_R1.fq.gz;KD_6_ICP22_plus_dox_R2.fq.gz,NA,NA,"Time post infection:8 hpi&&Cell type:Human telomerase reverse transcriptase (hTERT)-Immortalized cell line&&Treatment:PAA (350 µg/ml) + DOX (1 μg/mL)&&Infection with:ICP22-null mutant of herpes simplex virus 1, strain F&&"
GSE185236,KD_SPT6_ICP22_plus_dox_2,"T-HF cells, with SPT6 KD, infected with ICP22-null mutant, replicate 2",Omni-ATAC,Homo sapiens sapiens,DNA,DNA isolated with Zymo DNA Clean & Concentrator,KD_SPT6_ICP22_plus_dox_2.bedgraph,KD_7_ICP22_plus_dox_R1.fq.gz;KD_7_ICP22_plus_dox_R2.fq.gz,NA,NA,"Time post infection:8 hpi&&Cell type:Human telomerase reverse transcriptase (hTERT)-Immortalized cell line&&Treatment:PAA (350 µg/ml) + DOX (1 μg/mL)&&Infection with:ICP22-null mutant of herpes simplex virus 1, strain F&&"
GSE185236,KD_SPT6_Mock_minus_dox_1,"T-HF cells, with no SPT6 KD, mock, replicate 1",Omni-ATAC,Homo sapiens sapiens,DNA,DNA isolated with Zymo DNA Clean & Concentrator,KD_SPT6_Mock_minus_dox_1.bedgraph,KD_6_Mock_minus_dox_R1.fq.gz;KD_6_Mock_minus_dox_R2.fq.gz,NA,NA,Time post infection:no infection&&Cell type:Human telomerase reverse transcriptase (hTERT)-Immortalized cell line&&Treatment:PAA (350 µg/ml)&&Infection with:no infection&&
GSE185236,KD_SPT6_Mock_minus_dox_2,"T-HF cells, with no SPT6 KD, mock, replicate 2",Omni-ATAC,Homo sapiens sapiens,DNA,DNA isolated with Zymo DNA Clean & Concentrator,KD_SPT6_Mock_minus_dox_2.bedgraph,KD_7_Mock_minus_dox_R1.fq.gz;KD_7_Mock_minus_dox_R2.fq.gz,NA,NA,Time post infection:no infection&&Cell type:Human telomerase reverse transcriptase (hTERT)-Immortalized cell line&&Treatment:PAA (350 µg/ml)&&Infection with:no infection&&
GSE185236,KD_SPT6_Mock_plus_dox_1,"T-HF cells, with SPT6 KD, mock, replicate 1",Omni-ATAC,Homo sapiens sapiens,DNA,DNA isolated with Zymo DNA Clean & Concentrator,KD_SPT6_Mock_plus_dox_1.bedgraph,KD_6_Mock_plus_dox_R1.fq.gz;KD_6_Mock_plus_dox_R2.fq.gz,NA,NA,Time post infection:no infection&&Cell type:Human telomerase reverse transcriptase (hTERT)-Immortalized cell line&&Treatment:PAA (350 µg/ml) + DOX (1 μg/mL)&&Infection with:no infection&&
GSE185236,KD_SPT6_Mock_plus_dox_2,"T-HF cells, with SPT6 KD, mock, replicate 2",Omni-ATAC,Homo sapiens sapiens,DNA,DNA isolated with Zymo DNA Clean & Concentrator,KD_SPT6_Mock_plus_dox_2.bedgraph,KD_7_Mock_plus_dox_R1.fq.gz;KD_7_Mock_plus_dox_R2.fq.gz,NA,NA,Time post infection:no infection&&Cell type:Human telomerase reverse transcriptase (hTERT)-Immortalized cell line&&Treatment:PAA (350 µg/ml) + DOX (1 μg/mL)&&Infection with:no infection&&
GSE185236,KD_SPT6_Wt_minus_dox_1,"T-HF cells, with no SPT6 KD, infected with WT strain F, replicate 1",Omni-ATAC,Homo sapiens sapiens,DNA,DNA isolated with Zymo DNA Clean & Concentrator,KD_SPT6_Wt_minus_dox_1.bedgraph,KD_6_Wt_minus_dox_R1.fq.gz;KD_6_Wt_minus_dox_R2.fq.gz,NA,NA,"Time post infection:8 hpi&&Cell type:Human telomerase reverse transcriptase (hTERT)-Immortalized cell line&&Treatment:PAA (350 µg/ml)&&Infection with:Herpes simplex virus 1, strain F&&"
GSE185236,KD_SPT6_Wt_minus_dox_2,"T-HF cells, with no SPT6 KD, infected with WT strain F, replicate 2",Omni-ATAC,Homo sapiens sapiens,DNA,DNA isolated with Zymo DNA Clean & Concentrator,KD_SPT6_Wt_minus_dox_2.bedgraph,KD_7_Wt_minus_dox_R1.fq.gz;KD_7_Wt_minus_dox_R2.fq.gz,NA,NA,"Time post infection:8 hpi&&Cell type:Human telomerase reverse transcriptase (hTERT)-Immortalized cell line&&Treatment:PAA (350 µg/ml)&&Infection with:Herpes simplex virus 1, strain F&&"
GSE185236,KD_SPT6_Wt_plus_dox_1,"T-HF cells, with SPT6 KD, infected with WT strain F, replicate 1",Omni-ATAC,Homo sapiens sapiens,DNA,DNA isolated with Zymo DNA Clean & Concentrator,KD_SPT6_Wt_plus_dox_1.bedgraph,KD_6_Wt_plus_dox_R1.fq.gz;KD_6_Wt_plus_dox_R2.fq.gz,NA,NA,"Time post infection:8 hpi&&Cell type:Human telomerase reverse transcriptase (hTERT)-Immortalized cell line&&Treatment:PAA (350 µg/ml) + DOX (1 μg/mL)&&Infection with:Herpes simplex virus 1, strain F&&"
GSE185236,KD_SPT6_Wt_plus_dox_2,"T-HF cells, with SPT6 KD, infected with WT strain F, replicate 2",Omni-ATAC,Homo sapiens sapiens,DNA,DNA isolated with Zymo DNA Clean & Concentrator,KD_SPT6_Wt_plus_dox_2.bedgraph,KD_7_Wt_plus_dox_R1.fq.gz;KD_7_Wt_plus_dox_R2.fq.gz,NA,NA,"Time post infection:8 hpi&&Cell type:Human telomerase reverse transcriptase (hTERT)-Immortalized cell line&&Treatment:PAA (350 µg/ml) + DOX (1 μg/mL)&&Infection with:Herpes simplex virus 1, strain F&&"
GSE185236,KD_SSRP1_ICP22_minus_dox_1,"T-HF cells, with no SSRP1 KD, infected with ICP22-null mutant, replicate 1",Omni-ATAC,Homo sapiens sapiens,DNA,DNA isolated with Zymo DNA Clean & Concentrator,KD_SSRP1_ICP22_minus_dox_1.bedgraph,KD_16_ICP22_minus_dox_R1.fq.gz;KD_16_ICP22_minus_dox_R2.fq.gz,NA,NA,"Time post infection:8 hpi&&Cell type:Human telomerase reverse transcriptase (hTERT)-Immortalized cell line&&Treatment:PAA (350 µg/ml)&&Infection with:ICP22-null mutant of herpes simplex virus 1, strain F&&"
GSE185236,KD_SSRP1_ICP22_minus_dox_2,"T-HF cells, with no SSRP1 KD, infected with ICP22-null mutant, replicate 2",Omni-ATAC,Homo sapiens sapiens,DNA,DNA isolated with Zymo DNA Clean & Concentrator,KD_SSRP1_ICP22_minus_dox_2.bedgraph,KD_17_ICP22_minus_dox_R1.fq.gz;KD_17_ICP22_minus_dox_R2.fq.gz,NA,NA,"Time post infection:8 hpi&&Cell type:Human telomerase reverse transcriptase (hTERT)-Immortalized cell line&&Treatment:PAA (350 µg/ml)&&Infection with:ICP22-null mutant of herpes simplex virus 1, strain F&&"
GSE185236,KD_SSRP1_ICP22_plus_dox_1,"T-HF cells, with SSRP1 KD, infected with ICP22-null mutant, replicate 1",Omni-ATAC,Homo sapiens sapiens,DNA,DNA isolated with Zymo DNA Clean & Concentrator,KD_SSRP1_ICP22_plus_dox_1.bedgraph,KD_16_ICP22_plus_dox_R1.fq.gz;KD_16_ICP22_plus_dox_R2.fq.gz,NA,NA,"Time post infection:8 hpi&&Cell type:Human telomerase reverse transcriptase (hTERT)-Immortalized cell line&&Treatment:PAA (350 µg/ml) + DOX (1 μg/mL)&&Infection with:ICP22-null mutant of herpes simplex virus 1, strain F&&"
GSE185236,KD_SSRP1_ICP22_plus_dox_2,"T-HF cells, with SSRP1 KD, infected with ICP22-null mutant, replicate 2",Omni-ATAC,Homo sapiens sapiens,DNA,DNA isolated with Zymo DNA Clean & Concentrator,KD_SSRP1_ICP22_plus_dox_2.bedgraph,KD_17_ICP22_plus_dox_R1.fq.gz;KD_17_ICP22_plus_dox_R2.fq.gz,NA,NA,"Time post infection:8 hpi&&Cell type:Human telomerase reverse transcriptase (hTERT)-Immortalized cell line&&Treatment:PAA (350 µg/ml) + DOX (1 μg/mL)&&Infection with:ICP22-null mutant of herpes simplex virus 1, strain F&&"
